"ID";"Sex";"Age";"Periods";"TotalSuicides_1";"Unmarried_2";"Married_3";"Widowed_4";"Divorced_5";"HangingStrangulation_6";"DrugsMedicinesAlcohol_7";"TrainMetro_8";"Drowning_9";"JumpingFromHeight_10"
"88";"T001038";"41400";"1966JJ00";"      32";"      32";"       0";"       0";"       0";"      15";"       1";"";"       3";"       2"
"89";"T001038";"41400";"1967JJ00";"      30";"      30";"       0";"       0";"       0";"      18";"       1";"";"       3";"       2"
"90";"T001038";"41400";"1968JJ00";"      24";"      24";"       0";"       0";"       0";"       8";"       5";"";"       1";"       1"
"91";"T001038";"41400";"1969JJ00";"      32";"      31";"       1";"       0";"       0";"      13";"      10";"";"       1";"       2"
"92";"T001038";"41400";"1970JJ00";"      36";"      36";"       0";"       0";"       0";"      18";"       9";"";"       3";"       1"
"93";"T001038";"41400";"1971JJ00";"      38";"      37";"       0";"       0";"       1";"      13";"      10";"";"       4";"       2"
"94";"T001038";"41400";"1972JJ00";"      31";"      31";"       0";"       0";"       0";"      12";"       6";"";"       0";"       7"
"95";"T001038";"41400";"1973JJ00";"      43";"      43";"       0";"       0";"       0";"      20";"       9";"";"       2";"       4"
"96";"T001038";"41400";"1974JJ00";"      55";"      55";"       0";"       0";"       0";"      28";"      10";"";"       1";"       8"
"97";"T001038";"41400";"1975JJ00";"      45";"      45";"       0";"       0";"       0";"      20";"       7";"";"       1";"       6"
"98";"T001038";"41400";"1976JJ00";"      32";"      32";"       0";"       0";"       0";"      14";"       9";"";"       0";"       4"
"99";"T001038";"41400";"1977JJ00";"      39";"      39";"       0";"       0";"       0";"      23";"       1";"";"       2";"       4"
"100";"T001038";"41400";"1978JJ00";"      41";"      40";"       1";"       0";"       0";"      20";"       7";"";"       0";"       1"
"101";"T001038";"41400";"1979JJ00";"      35";"      34";"       1";"       0";"       0";"      15";"      10";"       3";"       0";"       5"
"102";"T001038";"41400";"1980JJ00";"      31";"      31";"       0";"       0";"       0";"      17";"       5";"       2";"       1";"       5"
